不可重复,假名,"如果有的话, 给出汉字",中文翻译,连到例子表,导出的图片名字,使用声音文件,声音开始时间,声音结束时间,来源
id,kana,kanji,chinese,example_id,image_path,sound_file,sound_start,sound_end,book_id
int,string,string,string,int,string,string,int,int,int
142,やね,屋根,,0,res://assets/words/jp_word_142.png,,0,0,1
143,せんめんじょ,洗面所,,0,res://assets/words/jp_word_143.png,,0,0,1
144,ものおき,物置,,0,res://assets/words/jp_word_144.png,,0,0,1
145,まどり,間取り,,0,res://assets/words/jp_word_145.png,,0,0,1
146,くうかん,空間,,0,res://assets/words/jp_word_146.png,,0,0,1
147,おく,奥,,0,res://assets/words/jp_word_147.png,,0,0,1
148,てまえ,手前,,0,res://assets/words/jp_word_148.png,,0,0,1
149,みなみむき,南向き,,0,res://assets/words/jp_word_149.png,,0,0,1
150,ぬくもり,温もり,,0,res://assets/words/jp_word_150.png,,0,0,1
151,がんじょうな,頑丈な,,0,res://assets/words/jp_word_151.png,,0,0,1
152,てんけん,点検,,0,res://assets/words/jp_word_152.png,,0,0,1
153,ていし,停止,,0,res://assets/words/jp_word_153.png,,0,0,1
154,ものおと,物音,,0,res://assets/words/jp_word_154.png,,0,0,1
155,ぼうはん,防犯,,0,res://assets/words/jp_word_155.png,,0,0,1
156,ぞっと,,,0,res://assets/words/jp_word_156.png,,0,0,1
157,けいび,警備,,0,res://assets/words/jp_word_157.png,,0,0,1
158,しんちく,新築,,0,res://assets/words/jp_word_158.png,,0,0,1
159,しゅうにゅう,収入,,0,res://assets/words/jp_word_159.png,,0,0,1
160,ごく,,,0,res://assets/words/jp_word_160.png,,0,0,1
161,せいぜい,,,0,res://assets/words/jp_word_161.png,,0,0,1
162,しゅっひ,出費,,0,res://assets/words/jp_word_162.png,,0,0,1
163,あかじ,赤字,,0,res://assets/words/jp_word_163.png,,0,0,1
164,たいきん,大金,,0,res://assets/words/jp_word_164.png,,0,0,1
165,ぜいきん,税金,,0,res://assets/words/jp_word_165.png,,0,0,1
166,おさめる,納める,,0,res://assets/words/jp_word_166.png,,0,0,1
167,ふくむ,含む,,0,res://assets/words/jp_word_167.png,,0,0,1
168,こうきょうりょうきん,公共料金,,0,res://assets/words/jp_word_168.png,,0,0,1
169,はらいこむ,払い込む,,0,res://assets/words/jp_word_169.png,,0,0,1
